feature,importance
sma_crossover,0.0895672
momentum_5d,0.072028674
price_sentiment_divergence,0.06191648
fng_momentum_10d,0.0618546
fng_normalized_lag_7,0.061143443
volume_sma_20,0.060012337
fng_normalized_lag_3,0.05890138
momentum_10d,0.05795666
volatility_20d,0.057779767
fng_sma_14,0.056871396
momentum_20d,0.0562989
volume_fng_ratio,0.054710604
fng_sma_7,0.05460168
daily_return,0.053391956
fng_normalized_lag_1,0.05261093
fng_momentum_5d,0.046755906
fng_normalized,0.04359808
fng_value,0.0
extreme_fear,0.0
extreme_greed,0.0
